x,y
14.79,41.2228
73.25,118.39
98.62,151.8784
54.95,94.234
98.8,152.116
37.41,71.0812
58.49,98.9068
73.98,119.3536
95.88,148.2616
33.85,66.382
92.79,144.1828
79.44,126.5608
92.52,143.8264
45.72,82.0504
22.11,50.8852
99.53,153.0796
68.04,111.5128
16.78,43.8496
15.63,42.3316
59.62,100.3984
58.89,99.4348
44.11,79.9252
2.45,24.934
87.73,137.5036
12.6,38.332
64.39,106.6948
67.78,111.1696
41.72,76.7704
16.16,43.0312
94.94,147.0208
68.44,112.0408
47.97,85.0204
22.17,50.9644
9.27,33.9364
18.84,46.5688
57.91,98.1412
6.04,29.6728
68.99,112.7668
7.05,31.006
63.7,105.784
58.15,98.458
28.48,59.2936
0.98,22.9936
54.54,93.6928
35.78,68.9296
40.13,74.6716
14.06,40.2592
79.71,126.9172
77.1,123.472
1.56,23.7592
63.61,105.6652
40.04,74.5528
64.89,107.3548
96.64,149.2648
96.3,148.816
97.84,150.8488
74.04,119.4328
44.51,80.4532
40.6,75.292
83.38,131.7616
70.5,114.76
76.64,122.8648
43.64,79.3048
67.25,110.47
61.51,102.8932
24.73,54.3436
88.34,138.3088
85.83,134.9956
0.2,21.964
78.95,125.914
75.31,121.1092
7.33,31.3756
24.41,53.9212
66.75,109.81
27.54,58.0528
30.84,62.4088
7.69,31.8508
94.77,146.7964
53.51,92.3332
5.35,28.762
4.27,27.3364
2.71,25.2772
23.6,52.852
43.63,79.2916
40.33,74.9356
60.91,102.1012
14.53,40.8796
18.03,45.4996
33.38,65.7616
89.76,140.1832
17.64,44.9848
17.11,44.2852
75.64,121.5448
12.8,38.596
12.47,38.1604
56.97,96.9004
32.38,64.4416
28.82,59.7424
99.33,152.8156
81.46,129.2272
23.68,52.9576
73.55,118.786
22.55,51.466
94.08,145.8856
17.58,44.9056
40.86,75.6352
49.77,87.3964
83.15,131.458
69.28,113.1496
17.49,44.7868
33.16,65.4712
4.89,28.1548
80.15,127.498
64.22,106.4704
40.63,75.3316
80.15,127.498
12.84,38.6488
29.96,61.2472
26.36,56.4952
97.12,149.8984
42.58,77.9056
45.06,81.1792
48.31,85.4692
33.63,66.0916
58.89,99.4348
47.37,84.2284
60.02,100.9264
50.38,88.2016
18.19,45.7108
25.81,55.7692
16.86,43.9552
38.56,72.5992
32.85,65.062
89.85,140.302
65.5,108.16
85.88,135.0616
7.95,32.194
83.98,132.5536
56.14,95.8048
99.19,152.6308
80.01,127.3132
86.31,135.6292
59.34,100.0288
87.16,136.7512
3.91,26.8612
93.53,145.1596
2.11,24.4852
69.16,112.9912
44.7,80.704
70.54,114.8128
41.87,76.9684
9.78,34.6096
50.76,88.7032
93.76,145.4632
72.04,116.7928
38.98,73.1536
38.09,71.9788
96.9,149.608
70.2,114.364
80.67,128.1844
10.27,35.2564
41.15,76.018
51.09,89.1388
67.66,111.0112
27.7,58.264
3.02,25.6864
32.03,63.9796
54.54,93.6928
86.35,135.682
17.25,44.47
41.13,75.9916
56.44,96.2008
39.57,73.9324
2.12,24.4984
29.36,60.4552
68.92,112.6744
76.3,122.416
82.62,130.7584
2.67,25.2244
33.7,66.184
54.86,94.1152
98.28,151.4296
26.97,57.3004
73.09,118.1788
31.72,63.5704
64.58,106.9456
37.9,71.728
89.64,140.0248
44.79,80.8228
20.26,48.4432
0.4,22.228
79.86,127.1152
34.03,66.6196
78.36,125.1352
29.31,60.3892
46.21,82.6972
57.19,97.1908
17.2,44.404
78.13,124.8316
25.24,55.0168
13.73,39.8236
5.93,29.5276
0.21,21.9772
83.43,131.8276
81.16,128.8312
19.17,47.0044
61.99,103.5268
9.41,34.1212
41.57,76.5724
0.2,21.964
43.91,79.6612
60.37,101.3884
29.74,60.9568
20.39,48.6148
80.19,127.5508
54.81,94.0492
26.95,57.274
80.24,127.6168
10.28,35.2696
54.56,93.7192
47.85,84.862
83.75,132.25
76.3,122.416
59.4,100.108
77.22,123.6304
72.99,118.0468
28.98,59.9536
83.22,131.5504
79.26,126.3232
75.64,121.5448
55.05,94.366
0.44,22.2808
60.93,102.1276
88.3,138.256
33.89,66.4348
69.12,112.9384
91.1,141.952
64.26,106.5232
87.91,137.7412
3.47,26.2804
68.19,111.7108
60.49,101.5468
60.14,101.0848
94.01,145.7932
41.53,76.5196
43.66,79.3312
25.44,55.2808
16.44,43.4008
50.12,87.8584
32.32,64.3624
76.9,123.208
7.94,32.1808
16.42,43.3744
66.64,109.6648
28.52,59.3464
72.57,117.4924
2.1,24.472
47.19,83.9908
26.09,56.1388
87.07,136.6324
54.35,93.442
64.33,106.6156
26.57,56.7724
47.78,84.7696
81.82,129.7024
61.29,102.6028
52.53,91.0396
81.4,129.148
59.22,99.8704
58.51,98.9332
66.82,109.9024
59.49,100.2268
59.09,99.6988
26.08,56.1256
93.72,145.4104
34.92,67.7944
57.99,98.2468
23.84,53.1688
3.66,26.5312
43.45,79.054
31.94,63.8608
53.37,92.1484
43.87,79.6084
57.85,98.062
56.15,95.818
79.27,126.3364
91.75,142.81
63.69,105.7708
78.77,125.6764
26.31,56.4292
24.03,53.4196
16.25,43.15
64.99,107.4868
53.07,91.7524
45.53,81.7996
38.24,72.1768
87.68,137.4376
69.64,113.6248
43.63,79.2916
53.59,92.4388
96.54,149.1328
78.42,125.2144
47.61,84.5452
15.09,41.6188
5.47,28.9204
33.05,65.326
5.77,29.3164
82.27,130.2964
1.42,23.5744
67.19,110.3908
73.48,118.6936
13.73,39.8236
45.37,81.5884
72.61,117.5452
19.4,47.308
48.05,85.126
51.69,89.9308
10.96,36.1672
4.02,27.0064
50.58,88.4656
54.31,93.3892
36.36,69.6952
1.34,23.4688
33.61,66.0652
98.74,152.0368
91.12,141.9784
20.29,48.4828
1.43,23.5876
11.31,36.6292
80.95,128.554
5.44,28.8808
42.14,77.3248
15.45,42.094
7.67,31.8244
65.03,107.5396
14.06,40.2592
56.68,96.5176
34.76,67.5832
67.72,111.0904
44.79,80.8228
28.77,59.6764
94.92,146.9944
94.05,145.846
55.55,95.026
25.7,55.624
47.27,84.0964
53.63,92.4916
19.28,47.1496
52.99,91.6468
73.78,119.0896
73.66,118.9312
1.22,23.3104
86.39,135.7348
75.47,121.3204
74.18,119.6176
47.09,83.8588
74.38,119.8816
67.93,111.3676
27.75,58.33
45.42,81.6544
49.36,86.8552
5.52,28.9864
6.7,30.544
94.46,146.3872
47.95,84.994
70.55,114.826
88.17,138.0844
8.42,32.8144
15.86,42.6352
37.95,71.794
24.38,53.8816
65.78,108.5296
70.98,115.3936
96.42,148.9744
65.38,108.0016
34.11,66.7252
66.44,109.4008
50.25,88.03
76.92,123.2344
79.41,126.5212
57.16,97.1512
98.39,151.5748
12.02,37.5664
91.79,142.8628
22.72,51.6904
33.75,66.25
25.16,54.9112
53.47,92.2804
43.85,79.582
65.47,108.1204
70.05,114.166
17.54,44.8528
88.8,138.916
67.63,110.9716
7.76,31.9432
93.63,145.2916
40.29,74.8828
46.95,83.674
27.39,57.8548
22.14,50.9248
90.5,141.16
55.3,94.696
94.5,146.44
69.83,113.8756
76.92,123.2344
22.62,51.5584
